Year,State,Kidney disease Deaths,Kidney disease Death rate,Alzheimers disease Deaths,Alzheimers disease Death rate,Stroke Deaths,Stroke Death rate,CLRD Deaths,CLRD Death rate,Diabetes Deaths,Diabetes Death rate,Heart disease Deaths,Heart disease Death rate,Influenze and Pneu Deaths,Influenze and Pneu Death rate,Suicide Deaths,Suicide Death rate,Cancer Deaths,Cancer Death rate,Unintentional Injury Deaths,Unintentional Injury Death rate
2014,Georgia,1742,18.5,2670,31.7,3948,42.6,4332,45.6,2230,22.3,17107,179.7,1510,16.2,1295,12.6,16684,165.5,3963,40.1
2014,Hawaii,220,11.8,326,15,655,34.1,313,17.1,276,15.4,2528,136.7,438,22.6,204,13.8,2493,140,476,30.1
2014,Idaho,137,8,376,22.4,640,36.8,819,45.8,409,22.9,2676,152.8,200,11.3,320,20,2795,155.4,765,46.5
2014,Illinois,2517,17.2,3266,21.9,5489,37.4,5631,39.2,2712,18.7,25024,169.7,2485,16.8,1398,10.5,24501,168.9,4644,34.4
2014,Indiana,1392,18.7,2204,29.4,3107,41.7,4029,54,1819,24.4,13764,182.7,1063,14.3,948,14.3,13519,179.7,2974,43.9
2014,Iowa,313,7.6,1313,29.6,1433,34,1915,47.7,1019,25.6,6615,157.3,582,13.7,407,12.9,6504,166,1517,42.1
2014,Kansas,569,16.6,790,21.9,1363,39,1673,49.2,643,19.2,5479,157.4,637,18.2,455,15.7,5587,166.8,1377,44.1
2014,Kentucky,968,19.5,1523,32.1,2050,41.8,3214,63.8,1175,23.4,10013,200.5,1017,20.8,728,16,10263,198.8,2621,58.3
2014,Louisiana,1217,24.9,1670,36,2230,45.6,2237,45.5,1238,24.8,10647,216.3,854,17.5,679,14.3,9455,186.1,2344,49.8
2014,Maine,223,11.7,434,22.7,628,33.2,896,48.1,414,22.4,2776,147.9,258,13.7,220,15.7,3209,170.3,690,45.8
2014,Maryland,751,11.5,934,14.5,2469,38,1909,29.4,1305,19.8,11135,167.8,1019,15.6,606,9.8,10759,161.7,1674,26.6
